name,party,BT-Period
Michael Breilmann,CDU,20
Marlon Bröhr,CDU,20
Frank Bsirske,GRÜNE,20
Yannick Bury,CDU,20
Isabel Cademartori Dujisin,SPD,20
Mario Czaja,CDU,20
Hakan Demir,SPD,20
Sandra Detzer,GRÜNE,20
Martin Diedenhofen,SPD,20
Jan Dieren,SPD,20
Thomas Dietz,AfD,20
Felix Döring,SPD,20
Falko Droßmann,SPD,20
Deborah Düring,GRÜNE,20
Axel Echeverria,SPD,20
Leon Eckert,GRÜNE,20
Ralph Edelhäußer,CSU,20
Sonja Eichwede,SPD,20
Alexander Engelhard,CSU,20
Heike Engelhardt,SPD,20
Martina Englhardt-Kopf,CSU,20
Robert Farle,AfD,20
Ariane Fäscher,SPD,20
Emilia Fester,GRÜNE,20
Sebastian Fiedler,SPD,20
Fabian Funke,SPD,20
Maximilian Funke-Kaiser,FDP,20
Schahina Gambir,GRÜNE,20
Tessa Ganserer,GRÜNE,20
Martin Gassner-Herz,FDP,20
Manuel Gava,SPD,20
Jonas Geissler,CSU,20
Knut Gerschau,FDP,20
Jan-Niclas Gesenhues,GRÜNE,20
Hannes Gnauck,AfD,20
Christian Görke,DIE LINKE,20
Fabian Gramling,CDU,20
Ingeborg Gräßle,CDU,20
Armin Grau,GRÜNE,20
Sabine Grützmacher,GRÜNE,20
Serap Güler,CDU,20
Ates Gürpinar,DIE LINKE,20
Robert Habeck,GRÜNE,20
Philipp Hartewig,FDP,20
Ulrike Harzer,FDP,20
Frauke Heiligenstadt,SPD,20
Linda Heitmann,GRÜNE,20
Matthias Helferich,AfD,20
Kathrin Henneberger,GRÜNE,20
Anke Hennig,SPD,20
Susanne Hennig-Wellsow,DIE LINKE,20
Bernhard Herrmann,GRÜNE,20
Nadine Heselhaus,SPD,20
Susanne Hierl,CSU,20
Bruno Hönel,GRÜNE,20
Franziska Hoppermann,CDU,20
Jasmina Hostert,SPD,20
Verena Hubertz,SPD,20
Markus Hümpfer,SPD,20
Gerrit Huy,AfD,20
Steffen Janich,AfD,20
Anne Janssen,CDU,20
Ann-Veruschka Jurisch,FDP,20
Lamya Kaddor,GRÜNE,20
Macit Karaahmetoğlu,SPD,20
Carlos Kasper,SPD,20
Anna Kassautzki,SPD,20
Malte Kaufmann,AfD,20
Michael Kaufmann,AfD,20
Rainer Johannes Keller,SPD,20
Michael Kellner,GRÜNE,20
Franziska Kersten,SPD,20
Misbah Khan,GRÜNE,20
Helmut Kleebank,SPD,20
Ottilie Klein,CDU,20
Kristian Klinck,SPD,20
Annika Klose,SPD,20
Tim Klüssendorf,SPD,20
Anne König,CDU,20
Chantal Kopf,GRÜNE,20
Simona Koß,SPD,20
Laura Kraft,GRÜNE,20
Philip Krämer,GRÜNE,20
Dunja Kreiser,SPD,20
Martin Kröber,SPD,20
Michael Kruse,FDP,20
Tilman Kuban,CDU,20
Kevin Kühnert,SPD,20
Sarah Lahrkamp,SPD,20
Ricarda Lang,GRÜNE,20
Andreas Larem,SPD,20
Ina Latendorf,DIE LINKE,20
Kevin Leiser,SPD,20
Jürgen Lenders,FDP,20
Barbara Lenk,AfD,20
Barbara Benkstein,AfD,20
Christian Leye,Plos,20
Luiza Licina-Bode,SPD,20
Thorsten Lieb,FDP,20
Anja Liebert,GRÜNE,20
Esra Limbacher,SPD,20
Helge Limburg,GRÜNE,20
Denise Loop,GRÜNE,20
Max Lucks,GRÜNE,20
Bettina Lugk,SPD,20
Kristine Lütke,FDP,20
Tanja Machalet,SPD,20
Klaus Mack,CDU,20
Erik Malottki,SPD,20
Holger Mann,SPD,20
Kaweh Mansoori,SPD,20
Zanda Martens,SPD,20
Parsa Marvi,SPD,20
Franziska Mascheck,SPD,20
Zoe Mayer,GRÜNE,20
Volker Mayer-Lay,CDU,20
Andreas Mehltretter,SPD,20
Takis Mehmet Ali,SPD,20
Susanne Menge,GRÜNE,20
Anikó Merten,FDP,20
Anikó Glogowski-Merten,FDP,20
Robin Mesarosch,SPD,20
Swantje Henrike Michaelsen,GRÜNE,20
Kathrin Michel,SPD,20
Matthias David Mieves,SPD,20
Boris Mijatović,GRÜNE,20
Mike Moncsek,AfD,20
Matthias Moosdorf,AfD,20
Maximilian Mordhorst,FDP,20
Maximilian Mörseburg,CDU,20
Florian Müller,CDU,20
Michael Müller,SPD,20
Sascha Müller,GRÜNE,20
Stefan Nacke,CDU,20
Sara Nanni,GRÜNE,20
Rasha Nasr,SPD,20
Edgar Naujok,AfD,20
Ophelia Nick,GRÜNE,20
Brian Nickholz,SPD,20
Jörg Nürnberger,SPD,20
Lennard Oehl,SPD,20
Moritz Oppelt,CDU,20
Karoline Otte,GRÜNE,20
Julian Pahlke,GRÜNE,20
Christos Pantazis,SPD,20
Wiebke Papenbrock,SPD,20
Mathias Papendieck,SPD,20
Natalie Pawlik,SPD,20
Jens Peick,SPD,20
Andreas Philippi,SPD,20
Paula Piechotta,GRÜNE,20
Jan Plobner,SPD,20
Martin Plum,CDU,20
Volker Redder,FDP,20
Henning Rehbaum,CDU,20
Markus Reichel,CDU,20
Heidi Reichinnek,DIE LINKE,20
Anja Reinalter,GRÜNE,20
Ye-One Rhie,SPD,20
Frank Rinck,AfD,20
Lars Rohwer,CDU,20
Sebastian Roloff,SPD,20
Jessica Rosenthal,SPD,20
Thomas Röwekamp,CDU,20
Thorsten Rudolph,SPD,20
Tina Rudolph,SPD,20
Kassem Taher Saleh,GRÜNE,20
Catarina Santos Firnhaber,CDU,20
Catarina Santos-Wintz,CDU,20
Ingo Schäfer,SPD,20
Jamila Schäfer,GRÜNE,20
Sebastian Schäfer,GRÜNE,20
Rebecca Schamber,SPD,20
Bernd Schattner,AfD,20
Johannes Schätzl,SPD,20
Christiane Schenderlein,CDU,20
Peggy Schierenbeck,SPD,20
Timo Schisanowski,SPD,20
Christoph Schmid,SPD,20
Eugen Schmidt,AfD,20
Jan Wenzel Schmidt,AfD,20
Daniel Schneider,SPD,20
Marlene Schönberger,GRÜNE,20
Christian Schreider,SPD,20
Christina-Johanne Schröder,GRÜNE,20
Ria Schröder,FDP,20
Anja Schulz,FDP,20
Svenja Schulze,SPD,20
Armin Schwarz,CDU,20
Stefan Seidler,SSW,20
Stephan Seiter,FDP,20
Lina Seitzl,SPD,20
Melis Sekmen,GRÜNE,20
Rainer Semet,FDP,20
Nyke Slawik,GRÜNE,20
Anne Monika Spallek,GRÜNE,20
Merle Spellerberg,GRÜNE,20
Nina Stahr,GRÜNE,20
Till Steffen,GRÜNE,20
Ralf Stegner,SPD,20
Hanna Steinmüller,GRÜNE,20
Nadja Sthamer,SPD,20
Klaus Stöber,AfD,20
Diana Stöcker,CDU,20
Konrad Stockmeier,FDP,20
Christina Stumpp,CDU,20
Ruppert Stüwe,SPD,20
Awet Tesfaiesus,GRÜNE,20
Jens Teutrine,FDP,20
Nico Tippelt,FDP,20
Anja Troff-Schaffarzyk,SPD,20
Derya Türk-Nachbaur,SPD,20
Katrin Uhlig,GRÜNE,20
Frank Ullrich,SPD,20
Oliver Vogt,CDU,20
Niklas Wagener,GRÜNE,20
Robin Wagener,GRÜNE,20
Carolin Wagner,SPD,20
Johannes Wagner,GRÜNE,20
Maja Wallstein,SPD,20
